name,ticker,status,market,dividend_group,dividend_amount,dividend_annual_amount,dividend_yield_pct,last_dividend_date,next_dividend_estimate,dividend_frequency_days,dividend_summary,etf_nav,etf_premium_pct,etf_summary,etf_now_source_date,etf_now_signal,etf_now_return_pct,etf_now_buy_price,etf_now_buy_date,etf_now_summary,etf_holdings_source,etf_holdings_source_date,etf_holdings_count,etf_holdings_top,etf_holdings_weighted_move_pct,etf_holdings_summary,preopen_score,preopen_summary,intraday_1m_score,intraday_1m_trend,intraday_1m_summary,ai_label,ai_score,ai_reason,sector,label,action,action_reason,score,raw_score,technical_score,volume_score,flow_score,news_score,market_score,risk,overheated,chase_risk,market_regime,market_risk,price,daily_close,price_source,change_source,price_drift_pct,change_pct,gap_pct,volume_ratio,trade_value_ratio,liquidity_confirmed,trade_value,rsi,macd_bullish,atr_pct,patterns,reasons,risks,flow,flow_status,foreign_net,institution_net,news,news_source,news_one_line,news_strength,headlines,data_sources,sector_score,sector_risk,sector_summary,mobile_intel_generated_at,mobile_today_score,mobile_ai_explain,mobile_lead_signal,mobile_missed_signal,mobile_risk_signal,mobile_breaking_signal,mobile_sector_rotation,mobile_market_risk,mobile_capital_flow,mobile_theme_link,mobile_position_ai,mobile_sector_keywords,mobile_news_price_forecast,mobile_news_focus,mobile_trendline_anchor_date,mobile_trendline_anchor_price,mobile_trendline_up,mobile_trendline_down,mobile_trendline_status
비에이치,090460.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,10.0,본장 전/초반 1시간 강세 · 초반 +5.82% · 오늘 우호적,24.0,강함,1분봉 강함 · 장중 +17.76% · 최근 +0.38% · 거래 1.6배,AI 관망,71,이미 많이 오른 구간이라 신규 매수보다 눌림 확인이 우선입니다.,전자부품,보류,🚫 제외,리스크 과다,104,135.0,67.0,20.0,0.0,11.0,37.0,31.0,False,True,상승장,6.0,39450.0,39450.0,naver_realtime,naver_realtime_calculated,0.0,17.06,0.0,2.1,2.41,True,74586734250.0,58.1,True,9.37,"거래량 폭발, 본장 전/초반 강세","추세 상승, 거래량/거래대금 폭발(2.1x/2.4x), 20일 고점 돌파, RSI 건강 구간, MACD 상승, 뉴스 키워드: 강한 호재: 수주 / 약한 호재: 상승, 상승장+거래량 폭발, 1분봉 강함 · 장중 +17.76% · 최근 +0.38% · 거래 1.6배, 본장 전/초반 1시간 강세 · 초반 +5.82% · 오늘 우호적","변동성 과다, 당일 급등 후 추격 위험, 리스크 31 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,강한 호재: 수주 / 약한 호재: 상승,google_news,호재 뉴스: 2026년 5/22(금) (2026-05-22),strong,2026년 5/22(금) (2026-05-22) | 오늘은 숨고르기 나선 SK텔레콤 줍는 날 [주식 초고수는 지금] (2026-05-22),"naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,86,우선 감시 · 거래량 2.1배 · 추격 부담 높음 · 호재 뉴스: 2026년 5/22(금) (2026-05-22) · 놓친 상승 복기: 이전 놓친 상승 패턴 4회 / 비에이치 개별 실패 복기 1회,추격 주의 · 이미 오른 구간이라 눌림 확인 우선,놓침 위험 낮음,위험 신호 보통,급변 감지 · 당일 +17.06%,"전자부품 흐름 · 평균 +6.86% · 거래량 1.1배 · 대표 비에이치, 삼성전기, KH바텍",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 39,450 · 손절 참고 35,754 · 1차 익절 참고 44,071",섹터 최대 호재: 수주,"호재 영향 예상: +4.5~+8.1% (42,644원 부근까지 시도) · 이탈 기준 37,787원",호재 뉴스: 2026년 5/22(금) (2026-05-22) · 섹터 최대 호재: 수주,2026-05-23,39450.0,41521.125,37971.414,당일 고정
대한항공,003490.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 +0.93%,10.0,양호,1분봉 양호 · 장중 +0.00% · 최근 +0.19%,AI 추천,119,"아직 추격 구간이 아니고 점수, 거래, 뉴스가 같이 양호합니다.",항공,🔥 강력 관심,✅ 매수 후보,점수·리스크·타이밍 통과,92,104.0,74.0,0.0,0.0,7.0,23.0,12.0,False,False,상승장,6.0,26800.0,26800.0,naver_realtime,naver_realtime_calculated,0.0,1.32,1.51,0.97,1.01,True,53693666000.0,59.2,True,5.12,눌림 후 재상승,"추세 상승, 눌림 후 재상승, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 뉴스 키워드: 강한 호재: 계약 / 악재: 차입금, 상승장 눌림 재상승, 1분봉 양호 · 장중 +0.00% · 최근 +0.19%",뉴스 리스크: 강한 호재: 계약 / 악재: 차입금,수급 수집 실패,unavailable,0.0,0.0,강한 호재: 계약 / 악재: 차입금,google_news,"악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15)",strong,"대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15) | 통합 대한항공, 12월 17일 공식 출범…아시아나항공 역사 속으로 (2026-05-15)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,99,"우선 감시 · 추격 부담 낮음 · 악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"항공 흐름 · 평균 +2.39% · 거래량 0.8배 · 대표 대한항공, 티웨이항공, 아시아나항공",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,우주항공 → 위성 → 통신장비 → 소재,"기준 현재가 26,800 · 손절 참고 25,428 · 1차 익절 참고 28,515",섹터 최대 호재: 계약,"악재 영향 예상: -3.2~-5.7% (25,263원 부근까지 경계) · 회복 기준 27,417원 돌파","악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15) · 섹터 최대 호재: 계약",2026-05-23,26800.0,27378.7728,26251.136,당일 고정
Brookfield Asset Management,BAM.TO,ok,캐나다,중간배당,0.687,3.139,4.74,2026-02-27,2026-05-29,91,중간배당 · 최근 0.69 CAD · 연 3.14 CAD · 배당률 4.74% · 최근 지급일 2026-02-27 · 다음 예상 2026-05-29,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 관망,102,지금은 확실한 우위가 부족합니다.,캐나다/자산운용,보류,🚫 제외,리스크 과다,88,113.0,54.0,20.0,0.0,4.0,35.0,25.0,False,False,상승장,6.0,66.25,66.25,fast_quote,calculated,0.0,-0.87,0.21,3.32,3.34,True,335317750.0,53.6,False,2.98,"눌림 후 재상승, 거래량 폭발","추세 상승, 눌림 후 재상승, 거래량/거래대금 폭발(3.3x/3.3x), RSI 건강 구간, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자 / 악재: 하락, 상승장+거래량 폭발, 상승장 눌림 재상승","거래대금 부족, 뉴스 리스크: 보통 호재: 투자 / 악재: 하락, 리스크 25 이상으로 신규 관심 제외",수급 확인 불가,no_code,0.0,0.0,보통 호재: 투자 / 악재: 하락,google_news,악재 뉴스: Bloom Energy SWOT 분석: 성장 속 주식 가치 평가 논쟁 직면 - Investing.com 한국어 (2026-05-23),medium,Bloom Energy SWOT 분석: 성장 속 주식 가치 평가 논쟁 직면 - Investing.com 한국어 (2026-05-23) | 최근 주가 조정 이후 Brookfield Asset Management(TSX:BAM) 밸류에이션 격차 점검 - simplywall.st (2026-05-21),"yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,85,우선 감시 · 거래량 3.3배 · 추격 부담 낮음 · 악재 뉴스: Bloom Energy SWOT 분석: 성장 속 주식 가치 평가 논쟁 직면 - Investing.com 한국어 (,선행 신호 대기,놓칠 가능성 높음,위험 신호 보통,뉴스+거래량 동시 감지,"자산운용 흐름 · 평균 -0.34% · 거래량 2.0배 · 대표 Brookfield Asset Management, Brookfield Corp",중립장 · 평균 +0.21% · 하락비중 29% · 분할 접근,수급 확인 불가,대표 테마 연결 대기,기준 현재가 66 · 손절 참고 64 · 1차 익절 참고 69,"최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",악재 영향 예상: -3.6~-6.5% (61.94 CAD 부근까지 경계) · 회복 기준 67.58 CAD 돌파,"악재 뉴스: Bloom Energy SWOT 분석: 성장 속 주식 가치 평가 논쟁 직면 - Investing.com 한국어 (2026-05-23) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,66.25,67.1384,65.4142,당일 고정
에스엘,005850.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 +7.00%,16.0,강함,1분봉 강함 · 장중 +10.50% · 최근 +0.80% · 거래 0.7배,AI 관망,55,이미 많이 오른 구간이라 신규 매수보다 눌림 확인이 우선입니다.,자동차부품,보류,🚫 제외,리스크 과다,87,122.0,73.0,20.0,0.0,2.0,27.0,35.0,False,True,상승장,6.0,75800.0,75800.0,naver_realtime,naver_realtime_calculated,0.0,10.66,0.15,1.9,2.14,True,45419056800.0,63.0,True,8.12,거래량 폭발,"추세 상승, 거래량/거래대금 폭발(1.9x/2.1x), 20일 고점 돌파, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 뉴스 키워드: 악재: 유증 확인 필요 / 유증 목적 확인 필요: 자금조달 목적 확인 필요, 상승장+거래량 폭발, 1분봉 강함 · 장중 +10.50% · 최근 +0.80% · 거래 0.7배","변동성 과다, 당일 급등 후 추격 위험, 뉴스 리스크: 악재: 유증 확인 필요 / 유증 목적 확인 필요: 자금조달 목적 확인 필요, 리스크 35 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,악재: 유증 확인 필요 / 유증 목적 확인 필요: 자금조달 목적 확인 필요,google_news,"악재 뉴스: 이엠텍, 100% 자회사 비에스엘 1대 0 합병…의사결정 구조 단순화 기대 (2026-05-22)",none,"이엠텍, 100% 자회사 비에스엘 1대 0 합병…의사결정 구조 단순화 기대 (2026-05-22) | 신신제약, UIP620 임상 3상 조기종료 ""운영 자원 효율화 및 공동개발 추진"" (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,35,"관망 · 거래량 1.9배 · 추격 부담 높음 · 악재 뉴스: 이엠텍, 100% 자회사 비에스엘 1대 0 합병…의사결정 구조 단순화 기대 (2026-05-22) · 놓친 상승 복기: 이전 놓친 상승 패턴 1회 / 에스엘 개별 실패 복기 1회",추격 주의 · 이미 오른 구간이라 눌림 확인 우선,놓침 위험 낮음,위험 신호 보통,급변 감지 · 당일 +10.66%,"자동차부품 흐름 · 평균 +2.81% · 거래량 1.1배 · 대표 에스엘, 한국타이어앤테크놀로지, HL만도",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 75,800 · 손절 참고 69,645 · 1차 익절 참고 83,494","최대 호재: 판매 증가, 환율 수혜, 신차 효과, 전기차 보조금 / 최대 악재: 리콜, 파업, 관세, 판매 부진","악재 영향 예상: -6.6~-12.0% (66,672원 부근까지 경계) · 회복 기준 78,570원 돌파","악재 뉴스: 이엠텍, 100% 자회사 비에스엘 1대 0 합병…의사결정 구조 단순화 기대 (2026-05-22) · 최대 호재: 판매 증가, 환율 수혜, 신차 효과, 전기차 보조금 / 최대 악재: 리콜, 파업, 관세, 판매 부진",2026-05-23,75800.0,79026.6544,73338.016,당일 고정
한화생명,088350.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 +2.18%,10.0,양호,1분봉 양호 · 장중 +1.63% · 최근 +0.00%,AI 관심,82,조건은 괜찮지만 진입 전 가격 위치를 확인해야 합니다.,보험/저PBR,👀 관찰,👀 관찰,조건 일부 충족,83,104.0,74.0,0.0,0.0,7.0,23.0,21.0,False,False,상승장,6.0,5600.0,5600.0,naver_realtime,naver_realtime_calculated,0.0,2.75,1.28,0.62,0.65,False,40321366400.0,61.8,True,8.32,눌림 후 재상승,"추세 상승, 눌림 후 재상승, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자 / 약한 호재: 확대, 상승, 증가, 상승장 눌림 재상승, 1분봉 양호 · 장중 +1.63% · 최근 +0.00%","변동성 과다, 매수 확인 부족: 거래량 0.62x / 거래대금 0.65x",수급 수집 실패,unavailable,0.0,0.0,"보통 호재: 투자 / 약한 호재: 확대, 상승, 증가",google_news,"호재 뉴스: 생명보험 빅3 삼성·한화·교보, 채권 운용 핵심은 ‘투 트랙 자산 배분'과 ‘신종자본증권 발행' (2026-05-22)",medium,"생명보험 빅3 삼성·한화·교보, 채권 운용 핵심은 ‘투 트랙 자산 배분'과 ‘신종자본증권 발행' (2026-05-22) | ‘한화 2남’ 김동원, 두나무 지분 확대...디지털 자산 시장 뛰어드나 (2026-05-21)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,81,"우선 감시 · 추격 부담 낮음 · 호재 뉴스: 생명보험 빅3 삼성·한화·교보, 채권 운용 핵심은 ‘투 트랙 자산 배분'과 ‘신종자본증권 발행' (2026-05-",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"보험/저PBR 흐름 · 평균 +2.37% · 거래량 0.7배 · 대표 한화생명, 현대해상",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 5,600 · 손절 참고 5,134 · 1차 익절 참고 6,182","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화","호재 영향 예상: +3.4~+6.2% (5,949원 부근까지 시도) · 이탈 기준 5,390원","호재 뉴스: 생명보험 빅3 삼성·한화·교보, 채권 운용 핵심은 ‘투 트랙 자산 배분'과 ‘신종자본증권 발행' (2026-05-22) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,5600.0,5807.984,5413.632,당일 고정
Applied Materials,AMAT,ok,미장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 관심,85,조건은 괜찮지만 진입 전 가격 위치를 확인해야 합니다.,미장/반도체장비,👍 관심,👀 관찰,조건 일부 충족,78,84.0,54.0,0.0,0.0,7.0,23.0,6.0,False,False,상승장,6.0,432.16,432.16,fast_quote,calculated,0.0,1.12,1.64,0.63,0.65,False,2112959905.0,62.2,False,4.63,눌림 후 재상승,"추세 상승, 눌림 후 재상승, RSI 건강 구간, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자 / 약한 호재: 상승, 상승장 눌림 재상승",매수 확인 부족: 거래량 0.63x / 거래대금 0.65x,수급 확인 불가,no_code,0.0,0.0,보통 호재: 투자 / 약한 호재: 상승,google_news,호재 뉴스: Applied Materials 30% Systems Outlook Is the Headline. The Services Business May B… (2026-05-22),medium,"Applied Materials 30% Systems Outlook Is the Headline. The Services Business May Be the Better Story. - TIKR.com (2026-05-22) | 어플라이드 머티어리얼즈(AMAT), 2026년 4월 26일 종료 분기 보고서 발표 (2026-05-22)","yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,85,우선 감시 · 추격 부담 낮음 · 호재 뉴스: Applied Materials 30% Systems Outlook Is the Headline. The Serv,선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"반도체장비 흐름 · 평균 +1.57% · 거래량 0.8배 · 대표 Applied Materials, ASML, Lam Research",공격장 · 평균 +1.58% · 하락비중 35% · 관심 종목 압축,수급 확인 불가,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,기준 현재가 432 · 손절 참고 412 · 1차 익절 참고 457,"최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",호재 영향 예상: +2.0~+3.5% (447.17 USD 부근까지 시도) · 이탈 기준 423.16 USD,"호재 뉴스: Applied Materials 30% Systems Outlook Is the Headline. The Services Business May B… (2026-05-22) · 최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",2026-05-23,432.16,441.5513,424.1564,당일 고정
ASML,ASML,ok,미장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 관심,82,조건은 괜찮지만 진입 전 가격 위치를 확인해야 합니다.,미장/반도체장비,👍 관심,⏳ 눌림 대기,이미 오른 구간이라 추격 금지,77,83.0,61.0,0.0,0.0,7.0,15.0,6.0,False,True,상승장,6.0,1632.9,1632.9,fast_quote,calculated,0.0,2.57,1.76,1.01,1.09,True,2721554470.0,67.7,True,4.42,일반 모멘텀,"추세 상승, 20일 고점 돌파, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자 / 약한 호재: 상승",-,수급 확인 불가,no_code,0.0,0.0,보통 호재: 투자 / 약한 호재: 상승,google_news,"호재 뉴스: ""경기 풍향계 구리, AI 주식인가"" 블룸버그 - thecommoditiesnews.com (2026-05-24)",medium,"""경기 풍향계 구리, AI 주식인가"" 블룸버그 - thecommoditiesnews.com (2026-05-24) | ASML Holding NV (ASML) 주식 움직였습니다 상승 3.20%에 5월22일: 투자자가 알아야 할 정보 (2026-05-23)","yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,86,"우선 감시 · 추격 부담 낮음 · 호재 뉴스: ""경기 풍향계 구리, AI 주식인가"" 블룸버그 - thecommoditiesnews.com (2026-05-24)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"반도체장비 흐름 · 평균 +1.57% · 거래량 0.8배 · 대표 Applied Materials, ASML, Lam Research",공격장 · 평균 +1.58% · 하락비중 35% · 관심 종목 압축,수급 확인 불가,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,"기준 현재가 1,633 · 손절 참고 1,561 · 1차 익절 참고 1,723","최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증","호재 영향 예상: +2.0~+3.3% (1,687.26 USD 부근까지 시도) · 이탈 기준 1,600.24 USD","호재 뉴스: ""경기 풍향계 구리, AI 주식인가"" 블룸버그 - thecommoditiesnews.com (2026-05-24) · 최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",2026-05-23,1632.9,1668.7356,1604.0303,당일 고정
LG,003550.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 -0.59%,12.0,양호,1분봉 양호 · 장중 +0.42% · 최근 +0.08%,AI 관망,79,지금은 확실한 우위가 부족합니다.,지주,보류,🚫 제외,리스크 과다,74,105.0,70.0,12.0,0.0,0.0,23.0,31.0,False,False,상승장,6.0,118500.0,118500.0,naver_realtime,naver_realtime_calculated,0.0,-3.66,-3.01,1.43,1.49,True,114320860500.0,61.4,True,9.82,눌림 후 재상승,"추세 상승, 눌림 후 재상승, 거래량 증가(1.4x), RSI 건강 구간, MACD 상승, 상승장 눌림 재상승, 1분봉 양호 · 장중 +0.42% · 최근 +0.08%","갭 하락 경계, 변동성 과다, 리스크 31 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,뉴스 중립,google_news,"관련 뉴스: 구광모號 LG, 기업 가치 제고 박차…㈜LG, 3500억원 규모 자사주 전량 소각 (2026-05-22)",none,"구광모號 LG, 기업 가치 제고 박차…㈜LG, 3500억원 규모 자사주 전량 소각 (2026-05-22) | ㈜LG, 3천500억원 규모 자사주 전량 소각 - v.daum.net (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,47,"관망 · 거래량 1.4배 · 관련 뉴스: 구광모號 LG, 기업 가치 제고 박차…㈜LG, 3500억원 규모 자사주 전량 소각 (2026-05-22)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"지주 흐름 · 평균 -0.73% · 거래량 0.8배 · 대표 LG, 롯데지주, 효성",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 118,500 · 손절 참고 106,863 · 1차 익절 참고 133,046","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",뉴스 영향 예상: 방향성 약함 · 가격/거래량 확인 우선,"관련 뉴스: 구광모號 LG, 기업 가치 제고 박차…㈜LG, 3500억원 규모 자사주 전량 소각 (2026-05-22) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,118500.0,123440.265,113498.352,당일 고정
Lam Research,LRCX,ok,미장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 관심,78,조건은 괜찮지만 진입 전 가격 위치를 확인해야 합니다.,미장/반도체장비,👍 관심,⏳ 눌림 대기,이미 오른 구간이라 추격 금지,73,83.0,61.0,0.0,0.0,7.0,15.0,10.0,False,True,상승장,6.0,305.35,305.35,fast_quote,calculated,0.0,1.03,1.15,0.85,0.93,True,2398432692.0,67.6,True,5.01,일반 모멘텀,"추세 상승, 20일 고점 돌파, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자 / 약한 호재: 상승, 돌파 / 악재: 하락","뉴스 리스크: 보통 호재: 투자 / 약한 호재: 상승, 돌파 / 악재: 하락",수급 확인 불가,no_code,0.0,0.0,"보통 호재: 투자 / 약한 호재: 상승, 돌파 / 악재: 하락",google_news,악재 뉴스: Lam Research Corp (LRCX) 주식 움직였습니다 상승 3.46%에 5월21일: 투자자가 알아야 할 정보 (2026-05-22),medium,"Lam Research Corp (LRCX) 주식 움직였습니다 상승 3.46%에 5월21일: 투자자가 알아야 할 정보 (2026-05-22) | Arm 시가총액 $3000억 돌파, 소프트뱅크의 87% 지분이 이를 최대 승자로 만들어, Arm은 어떻게 CPU로 월가를 열광시키는가? (2026-05-21)","yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,69,관심 · 추격 부담 낮음 · 악재 뉴스: Lam Research Corp (LRCX) 주식 움직였습니다 상승 3.46%에 5월21일: 투자자가 알아야 할 ,선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"반도체장비 흐름 · 평균 +1.57% · 거래량 0.8배 · 대표 Applied Materials, ASML, Lam Research",공격장 · 평균 +1.58% · 하락비중 35% · 관심 종목 압축,수급 확인 불가,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,기준 현재가 305 · 손절 참고 290 · 1차 익절 참고 324,"최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",악재 영향 예상: -3.0~-5.5% (288.52 USD 부근까지 경계) · 회복 기준 312.23 USD 돌파,"악재 뉴스: Lam Research Corp (LRCX) 주식 움직였습니다 상승 3.46%에 5월21일: 투자자가 알아야 할 정보 (2026-05-22) · 최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",2026-05-23,305.35,312.4857,299.2308,당일 고정
UnitedHealth,UNH,ok,미장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 추천,99,"아직 추격 구간이 아니고 점수, 거래, 뉴스가 같이 양호합니다.",미장/헬스케어,👍 관심,👀 관찰,조건 일부 충족,72,78.0,48.0,0.0,0.0,7.0,23.0,6.0,False,False,상승장,6.0,388.47,388.47,fast_quote,calculated,0.0,1.57,-0.15,0.8,0.82,True,2174888148.0,62.9,False,2.41,눌림 후 재상승,"추세 상승, 눌림 후 재상승, RSI 건강 구간, 뉴스 키워드: 보통 호재: 투자 / 약한 호재: 상승, 상승장 눌림 재상승",-,수급 확인 불가,no_code,0.0,0.0,보통 호재: 투자 / 약한 호재: 상승,google_news,"호재 뉴스: 유나이티드헬스, 16억달러 AI 투자로 운영 효율·가치 재평가 주목 - simplywall.st (2026-05-24)",medium,"유나이티드헬스, 16억달러 AI 투자로 운영 효율·가치 재평가 주목 - simplywall.st (2026-05-24) | UnitedHealth’s DOJ Problem Isn’t Going Away, Neither Is the $16 Billion in Free Cash Flow - TIKR.com (2026-05-22)","yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,93,"우선 감시 · 추격 부담 낮음 · 호재 뉴스: 유나이티드헬스, 16억달러 AI 투자로 운영 효율·가치 재평가 주목 - simplywall.st (2026-05-",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"헬스케어 흐름 · 평균 +1.35% · 거래량 0.8배 · 대표 UnitedHealth, Johnson & Johnson",공격장 · 평균 +1.58% · 하락비중 35% · 관심 종목 압축,수급 확인 불가,대표 테마 연결 대기,기준 현재가 388 · 손절 참고 377 · 1차 익절 참고 404,"최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",호재 영향 예상: +2.0~+3.2% (400.90 USD 부근까지 시도) · 이탈 기준 380.70 USD,"호재 뉴스: 유나이티드헬스, 16억달러 AI 투자로 운영 효율·가치 재평가 주목 - simplywall.st (2026-05-24) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,388.47,393.1709,384.5853,당일 고정
